"","prodNm","prodCode"
"56","워딩(wadding)ㆍ펠트(felt)ㆍ부직포, 특수사, 끈ㆍ배의 밧줄(cordage)ㆍ로프ㆍ케이블과 이들의 제품","56"
"57","양탄자류와 그 밖의 방직용 섬유로 만든 바닥깔개","57"
"58","특수직물, 터프트(tuft)한 직물, 레이스, 태피스트리(tapestry), 트리밍(trimming), 자수천","58"
"59","침투ㆍ도포ㆍ피복하거나 적층한 방직용 섬유의 직물, 공업용인 방직용 섬유제품","59"
"60","메리야스 편물과 뜨개질 편물","60"
"61","의류와 그 부속품(메리야스 편물이나 뜨개질 편물에만 적용한다)","61"
"62","의류와 그 부속품(메리야스 편물이나 뜨개질편물은 제외한다)","62"
"63","제품으로 된 방직용 섬유의 그 밖의 물품, 세트, 사용하던 의류ㆍ방직용 섬유제품, 넝마","63"
"64","신발류ㆍ각반과 이와 유사한 것, 이들의 부분품","64"
"65","모자류와 그 부분품","65"
"66","산류(傘類)ㆍ지팡이ㆍ시트스틱(seat-stick)ㆍ채찍ㆍ승마용 채찍과 이들의 부분품","66"
"67","조제 깃털ㆍ솜털과 그 제품, 조화, 사람 머리카락으로 된 제품","67"
"68","돌ㆍ플라스터(plaster)ㆍ시멘트ㆍ석면ㆍ운모나 이와 유사한 재료의 제품","68"
"69","도자제품","69"
"70","유리와 유리제품","70"
"71","천연진주ㆍ양식진주ㆍ귀석ㆍ반귀석ㆍ귀금속ㆍ귀금속을 입힌 금속과 이들의 제품, 모조 신변장식용품, 주화","71"
"72","철강","72"
"73","철강의 제품","73"
"74","구리와 그 제품","74"
"75","니켈과 그 제품","75"
"76","알루미늄과 그 제품","76"
"77","유보","77"
"78","납과 그 제품","78"
"79","아연과 그 제품","79"
"80","주석과 그 제품","80"
"81","그 밖의 비금속(卑金屬), 서멧(cermet), 이들의 제품","81"
"82","비금속(卑金屬)으로 만든 공구ㆍ도구ㆍ칼붙이ㆍ스푼ㆍ포크, 이들의 부분품","82"
"83","비금속(卑金屬)으로 만든 각종 제품","83"
"84","원자로ㆍ보일러ㆍ기계류와 이들의 부분품","84"
"85","전기기기와 그 부분품, 녹음기ㆍ음성 재생기ㆍ텔레비전의 영상과 음성의 기록기ㆍ재생기와 이들의 부분품ㆍ부속품","85"
"86","철도용이나 궤도용 기관차ㆍ차량과 이들의 부분품, 철도용이나 궤도용 장비품과 그 부분품, 기계식(전기기계식을 포함한다) 각종 교통신호용 기기","86"
"87","철도용이나 궤도용 외의 차량과 그 부분품ㆍ부속품","87"
"88","항공기와 우주선, 이들의 부분품","88"
"89","선박과 수상 구조물","89"
"90","광학기기ㆍ사진용 기기ㆍ영화용 기기ㆍ측정기기ㆍ검사기기ㆍ정밀기기ㆍ의료용 기기, 이들의 부분품과 부속품","90"
"91","시계와 그 부분품","91"
"92","악기와 그 부분품과 부속품","92"
"93","무기ㆍ총포탄과 이들의 부분품과 부속품","93"
"94","가구, 침구ㆍ매트리스ㆍ매트리스 서포트(mattress support)ㆍ쿠션과 이와 유사한 물품, 다른 류로 분류되지 않은 램프ㆍ조명기구, 조명용 사인ㆍ조명용 네임플레이트(name-plate)와 이와 유사한 물품, 조립식 건축물","94"
"95","완구ㆍ게임용구ㆍ운동용구와 이들의 부분품과 부속품","95"
"96","잡품","96"
"97","예술품ㆍ수집품ㆍ골동품","97"
